name,whi,bla,his,asi,oth
ABAN,0.20496894409937888,0.18012422360248448,0.08695652173913043,0.43478260869565216,0.09316770186335403
ABANATHY,0.8727272727272727,0.12727272727272726,0,0,0
ABANDA,0,1,0,0,0
ABANDO,0.044444444444444446,0,0,0.9555555555555556,0
ABANES,0,0,0,1,0
ABANGAN,0.43902439024390244,0,0,0.21951219512195122,0.34146341463414637
ABANILLA,0.125,0,0,0.875,0
ABANO,0.4418604651162791,0,0,0.4418604651162791,0.11627906976744186
ABANSES,0.6774193548387096,0,0.3225806451612903,0,0
ABANTE,0.2222222222222222,0,0.1111111111111111,0.5777777777777777,0.08888888888888889
ABANTO,0.04361370716510903,0,0.8722741433021807,0.08411214953271028,0
ABANUKAM,0,1,0,0,0
ABAR,0.9191919191919192,0,0.010101010101010102,0,0.0707070707070707
ABARA,0.07407407407407407,0.8024691358024691,0,0.08641975308641975,0.037037037037037035
ABARAY,1,0,0,0,0
ABARBANEL,0.9326923076923077,0.0673076923076923,0,0,0
ABARBANELL,0.7674418604651163,0,0.16279069767441862,0.06976744186046512,0
ABARCA,0.15151515151515152,0.014325068870523415,0.7807162534435261,0.003856749311294766,0.049586776859504134
ABARE,1,0,0,0,0
ABARELLI,1,0,0,0,0
ABARIOWEI,0,0.9285714285714286,0,0,0.07142857142857142
ABARNO,1,0,0,0,0
ABAROA,0.27325581395348836,0.040697674418604654,0.6744186046511628,0,0.011627906976744186
ABAROTIN,1,0,0,0,0
ABARQUEZ,0.35294117647058826,0,0,0.6470588235294118,0
ABARR,1,0,0,0,0
ABARRA,0,0,0,1,0
ABARZUA,0.43023255813953487,0,0.5465116279069767,0,0.023255813953488372
ABAS,0.21008403361344538,0.25210084033613445,0.11764705882352941,0.14285714285714285,0.2773109243697479
ABASAMBI,0,1,0,0,0
ABASCAL,0.1341317365269461,0,0.859880239520958,0,0.005988023952095809
ABASHA,0,0.9117647058823529,0,0,0.08823529411764706
ABASHIAN,1,0,0,0,0
ABASI,0,1,0,0,0
ABASIAL,0.6571428571428571,0,0,0.34285714285714286,0
ABASIEKONG,0,0.7407407407407407,0,0,0.25925925925925924
ABASOLO,0.039473684210526314,0,0.631578947368421,0.23684210526315788,0.09210526315789473
ABASS,0.15789473684210525,0.3391812865497076,0.04093567251461988,0.21052631578947367,0.25146198830409355
ABASSY,0,0.6071428571428571,0.39285714285714285,0,0
ABASUTE,0,1,0,0,0
ABATAL,0.3902439024390244,0.024390243902439025,0.14634146341463414,0,0.43902439024390244
ABATAN,0,1,0,0,0
ABATANGELO,1,0,0,0,0
ABATE,0.8681442524417731,0.08264462809917356,0.029676934635612322,0.007888805409466567,0.011645379413974455
ABATECOLA,0.96875,0,0.03125,0,0
ABATELLI,1,0,0,0,0
ABATEMARCO,1,0,0,0,0
ABATI,0.8244274809160306,0.1297709923664122,0.04580152671755725,0,0
ABATIELLO,1,0,0,0,0
ABATISTI,1,0,0,0,0
ABATO,1,0,0,0,0
ABATSO,0,1,0,0,0
ABATTE,0.14893617021276595,0.6595744680851063,0.1276595744680851,0,0.06382978723404255
ABAUNZA,0.15483870967741936,0.023655913978494623,0.821505376344086,0,0
ABAWI,0.68,0,0,0.013333333333333334,0.30666666666666664
ABAY,0.09405940594059406,0.3415841584158416,0.49257425742574257,0.03217821782178218,0.039603960396039604
ABAYA,0.07216494845360824,0,0.05154639175257732,0.6804123711340206,0.1958762886597938
ABAYAN,0.36666666666666664,0,0,0.5,0.13333333333333333
ABAYOMI,0,0.9518072289156626,0,0,0.04819277108433735
ABAZA,0.5858585858585859,0.12121212121212122,0,0,0.29292929292929293
ABAZI,0.9722222222222222,0,0,0,0.027777777777777776
ABAZID,0.44680851063829785,0,0,0.14893617021276595,0.40425531914893614
ABAZINGE,0,1,0,0,0
ABB,0.7,0.06666666666666667,0,0.23333333333333334,0
ABBA,0.8277777777777777,0.13333333333333333,0,0,0.03888888888888889
ABBACCHI,1,0,0,0,0
ABBAD,0.8333333333333334,0,0.16666666666666666,0,0
ABBADESSA,0.9913793103448276,0,0.008620689655172414,0,0
ABBADI,0.5694444444444444,0.09722222222222222,0,0,0.3333333333333333
ABBADIE,0.5645161290322581,0,0.43548387096774194,0,0
ABBADY,0.8787878787878788,0,0,0,0.12121212121212122
ABBAGNARO,1,0,0,0,0
ABBAH,0,1,0,0,0
ABBAJAY,0.96,0,0,0,0.04
ABBALEO,1,0,0,0,0
ABBALLE,0.875,0,0,0,0.125
ABBAMONTE,0.768595041322314,0,0.11570247933884298,0,0.11570247933884298
ABBAN,0,1,0,0,0
ABBANAT,1,0,0,0,0
ABBANATO,1,0,0,0,0
ABBANDANDO,1,0,0,0,0
ABBARNO,0.9269662921348315,0.03932584269662921,0,0,0.033707865168539325
ABBAS,0.4209499024072869,0.0605074821080026,0.013662979830839297,0.2817176317501627,0.22316200390370852
ABBASAKOOR,0,0,0,0.6,0.4
ABBASI,0.2870771899392888,0.017346053772766695,0.020815264527320035,0.4535993061578491,0.22116218560277537
ABBASPOUR,0.6388888888888888,0,0,0.2777777777777778,0.08333333333333333
ABBASS,0.3977272727272727,0.1590909090909091,0,0.06818181818181818,0.375
