name,whi,bla,his,asi,oth
JOHNIFER,0,1,0,0,0
JOHNIK,0,1,0,0,0
JOHNIKA,0.02666666666666667,0.96,0.013333333333333334,0,0
JOHNINA,0.8627450980392157,0.13725490196078433,0,0,0
JOHNINE,0.5824175824175825,0.34065934065934067,0,0.07692307692307693,0
JOHNIQUA,0,1,0,0,0
JOHNIQUE,0,0.9824561403508771,0,0,0.017543859649122806
JOHNIQUIA,0,1,0,0,0
JOHNISA,0,0.76,0.24,0,0
JOHNISAAC,0.39473684210526316,0.23684210526315788,0.3684210526315789,0,0
JOHNISE,0.20187793427230047,0.7652582159624414,0.03286384976525822,0,0
JOHNISHA,0,1,0,0,0
JOHNISHIA,0,1,0,0,0
JOHNITA,0.10011248593925759,0.8987626546681665,0,0.0011248593925759281,0
JOHNITHA,0,0.9801980198019802,0,0,0.019801980198019802
JOHNITHIA,0,1,0,0,0
JOHNITRA,0,1,0,0,0
JOHNITTA,0.1346153846153846,0.8653846153846154,0,0,0
JOHNJ,1,0,0,0,0
JOHNJACOB,1,0,0,0,0
JOHNJAMES,0.7066666666666667,0.21333333333333335,0,0.08,0
JOHNJAY,0.42424242424242425,0.12121212121212122,0.030303030303030304,0.21212121212121213,0.21212121212121213
JOHNJEFFREY,0.75,0,0,0.25,0
JOHNJOHN,0.3230769230769231,0.046153846153846156,0.47692307692307695,0.15384615384615385,0
JOHNJOSEPH,0.8,0.05142857142857143,0.09714285714285714,0.04,0.011428571428571429
JOHNKEITH,0.5,0.16666666666666666,0,0.3333333333333333,0
JOHNKENNETH,0.8,0.1076923076923077,0,0.09230769230769231,0
JOHNKERIA,0,1,0,0,0
JOHNKYLE,0.78125,0,0,0.21875,0
JOHNL,0.5569620253164557,0.4050632911392405,0.0379746835443038,0,0
JOHNLEE,0.5,0.325,0.0875,0.0875,0
JOHNLEWIS,0.6,0.4,0,0,0
JOHNLEY,0,0.7333333333333333,0,0.2,0.06666666666666667
JOHNLOUIS,0.4444444444444444,0.3333333333333333,0.16666666666666666,0.05555555555555555,0
JOHNLUCAS,0.36666666666666664,0.23333333333333334,0.16666666666666666,0,0.23333333333333334
JOHNLUKE,0.6105263157894737,0.24210526315789474,0.05263157894736842,0.021052631578947368,0.07368421052631578
JOHNLYN,0.825,0.175,0,0,0
JOHNMARC,0.8703703703703703,0.12962962962962962,0,0,0
